infected;sex;age;date_death
0;0;93;0.00038093
0;0;94;0.00038093
0;0;95;0.00038093
0;0;96;0.00038093
0;0;97;0.00038093
0;0;98;0.00038093
0;0;99;0.00038093
0;0;100;0.00038093
0;0;101;0.00038093
0;0;102;0.00038093
0;0;103;0.00038093
0;0;104;0.00038093
0;0;105;0.00038093
0;0;106;0.00038093
0;0;107;0.00038093
0;0;108;0.00038093
0;0;109;0.00038093
0;0;110;0.00038093
0;0;111;0.00038093
0;0;112;0.00038093
0;0;113;0.00038093
0;0;114;0.00038093
0;0;115;0.00038093
0;0;116;0.00038093
0;0;117;0.00038093
0;0;118;0.00038093
0;0;119;0.00038093
0;0;120;0.00038093
0;1;0;0.00008361
0;1;1;0.00000833
0;1;2;0.00000833
0;1;3;0.00000833
0;1;4;0.00000833
0;1;5;0.00000256
0;1;6;0.00000256
0;1;7;0.00000256
0;1;8;0.00000256
0;1;9;0.00000256
0;1;10;0.00000241
0;1;11;0.00000241
0;1;12;0.00000241
0;1;13;0.00000241
0;1;14;0.00000241
0;1;15;0.00000422
0;1;16;0.00000422
0;1;17;0.00000422
0;1;18;0.00000422
0;1;19;0.00000422
0;1;20;0.00000982
0;1;21;0.00000982
0;1;22;0.00000982
0;1;23;0.00000982
0;1;24;0.00000982
0;1;25;0.00001888
0;1;26;0.00001888
0;1;27;0.00001888
0;1;28;0.00001888
0;1;29;0.00001888
0;1;30;0.00002622
0;1;31;0.00002622
0;1;32;0.00002622
0;1;33;0.00002622
0;1;34;0.00002622
0;1;35;0.00002914
0;1;36;0.00002914
0;1;37;0.00002914
0;1;38;0.00002914
0;1;39;0.00002914
0;1;40;0.00002939
0;1;41;0.00002939
0;1;42;0.00002939
0;1;43;0.00002939
0;1;44;0.00002939
0;1;45;0.00003072
0;1;46;0.00003072
0;1;47;0.00003072
0;1;48;0.00003072
0;1;49;0.00003072
0;1;50;0.00003488
0;1;51;0.00003488
0;1;52;0.00003488
0;1;53;0.00003488
0;1;54;0.00003488
0;1;55;0.00004225
0;1;56;0.00004225
0;1;57;0.00004225
0;1;58;0.00004225
0;1;59;0.00004225
0;1;60;0.00005651
0;1;61;0.00005651
0;1;62;0.00005651
0;1;63;0.00005651
0;1;64;0.00005651
0;1;65;0.00007449
0;1;66;0.00007449
0;1;67;0.00007449
0;1;68;0.00007449
0;1;69;0.00007449
0;1;70;0.00010677
0;1;71;0.00010677
0;1;72;0.00010677
0;1;73;0.00010677
0;1;74;0.00010677
0;1;75;0.0001492
0;1;76;0.0001492
0;1;77;0.0001492
0;1;78;0.0001492
0;1;79;0.0001492
0;1;80;0.00021265
0;1;81;0.00021265
0;1;82;0.00021265
0;1;83;0.00021265
0;1;84;0.00021265
0;1;85;0.00034572
0;1;86;0.00034572
0;1;87;0.00034572
0;1;88;0.00034572
0;1;89;0.00034572
0;1;90;0.00034572
0;1;91;0.00034572
0;1;92;0.00034572
0;1;93;0.00034572
0;1;94;0.00034572
0;1;95;0.00034572
0;1;96;0.00034572
0;1;97;0.00034572
0;1;98;0.00034572
0;1;99;0.00034572
0;1;100;0.00034572
0;1;101;0.00034572
0;1;102;0.00034572
0;1;103;0.00034572
0;1;104;0.00034572
0;1;105;0.00034572
0;1;106;0.00034572
0;1;107;0.00034572
0;1;108;0.00034572
0;1;109;0.00034572
0;1;110;0.00034572
0;1;111;0.00034572
0;1;112;0.00034572
0;1;113;0.00034572
0;1;114;0.00034572
0;1;115;0.00034572
0;1;116;0.00034572
0;1;117;0.00034572
0;1;118;0.00034572
0;1;119;0.00034572
0;1;120;0.00034572
1;0;0;0.00010349
1;0;1;0.00001005
1;0;2;0.00001005
1;0;3;0.00001005
1;0;4;0.00001005
1;0;5;0.00000325
1;0;6;0.00000325
1;0;7;0.00000325
1;0;8;0.00000325
1;0;9;0.00000325
1;0;10;0.000003
1;0;11;0.000003
1;0;12;0.000003
1;0;13;0.000003
1;0;14;0.000003
1;0;15;0.00000544
1;0;16;0.00000544
1;0;17;0.00000544
1;0;18;0.00000544
1;0;19;0.00000544
1;0;20;0.00001041
1;0;21;0.00001041
1;0;22;0.00001041
1;0;23;0.00001041
1;0;24;0.00001041
1;0;25;0.00001911
1;0;26;0.00001911
1;0;27;0.00001911
1;0;28;0.00001911
1;0;29;0.00001911
1;0;30;0.00003116
1;0;31;0.00003116
1;0;32;0.00003116
1;0;33;0.00003116
1;0;34;0.00003116
1;0;35;0.0000423
1;0;36;0.0000423
1;0;37;0.0000423
1;0;38;0.0000423
1;0;39;0.0000423
1;0;40;0.00004799
1;0;41;0.00004799
1;0;42;0.00004799
1;0;43;0.00004799
1;0;44;0.00004799
1;0;45;0.00005629
1;0;46;0.00005629
1;0;47;0.00005629
1;0;48;0.00005629
1;0;49;0.00005629
1;0;50;0.00006693
1;0;51;0.00006693
1;0;52;0.00006693
1;0;53;0.00006693
1;0;54;0.00006693
1;0;55;0.00008032
1;0;56;0.00008032
1;0;57;0.00008032
1;0;58;0.00008032
1;0;59;0.00008032
1;0;60;0.00010616
1;0;61;0.00010616
1;0;62;0.00010616
1;0;63;0.00010616
1;0;64;0.00010616
1;0;65;0.00013409
1;0;66;0.00013409
1;0;67;0.00013409
1;0;68;0.00013409
1;0;69;0.00013409
1;0;70;0.00017728
1;0;71;0.00017728
1;0;72;0.00017728
1;0;73;0.00017728
1;0;74;0.00017728
1;0;75;0.00022147
1;0;76;0.00022147
1;0;77;0.00022147
1;0;78;0.00022147
1;0;79;0.00022147
1;0;80;0.00030535
1;0;81;0.00030535
1;0;82;0.00030535
1;0;83;0.00030535
1;0;84;0.00030535
1;0;85;0.00041902
1;0;86;0.00041902
1;0;87;0.00041902
1;0;88;0.00041902
1;0;89;0.00041902
1;0;90;0.00041902
1;0;91;0.00041902
1;0;92;0.00041902
1;0;93;0.00041902
1;0;94;0.00041902
1;0;95;0.00041902
1;0;96;0.00041902
1;0;97;0.00041902
1;0;98;0.00041902
1;0;99;0.00041902
1;0;100;0.00041902
1;0;101;0.00041902
1;0;102;0.00041902
1;0;103;0.00041902
1;0;104;0.00041902
1;0;105;0.00041902
1;0;106;0.00041902
1;0;107;0.00041902
1;0;108;0.00041902
1;0;109;0.00041902
1;0;110;0.00041902
1;0;111;0.00041902
1;0;112;0.00041902
1;0;113;0.00041902
1;0;114;0.00041902
1;0;115;0.00041902
1;0;116;0.00041902
1;0;117;0.00041902
1;0;118;0.00041902
1;0;119;0.00041902
1;0;120;0.00041902
1;1;0;0.00009197
1;1;1;0.00000916
1;1;2;0.00000916
1;1;3;0.00000916
1;1;4;0.00000916
1;1;5;0.00000281
1;1;6;0.00000281
1;1;7;0.00000281
1;1;8;0.00000281
1;1;9;0.00000281
1;1;10;0.00000266
1;1;11;0.00000266
1;1;12;0.00000266
1;1;13;0.00000266
1;1;14;0.00000266
1;1;15;0.00000465
1;1;16;0.00000465
1;1;17;0.00000465
1;1;18;0.00000465
1;1;19;0.00000465
1;1;20;0.0000108
1;1;21;0.0000108
1;1;22;0.0000108
1;1;23;0.0000108
1;1;24;0.0000108
1;1;25;0.00002076
1;1;26;0.00002076
1;1;27;0.00002076
1;1;28;0.00002076
1;1;29;0.00002076
1;1;30;0.00002884
1;1;31;0.00002884
1;1;32;0.00002884
1;1;33;0.00002884
1;1;34;0.00002884
1;1;35;0.00003205
1;1;36;0.00003205
1;1;37;0.00003205
1;1;38;0.00003205
1;1;39;0.00003205
1;1;40;0.00003233
1;1;41;0.00003233
1;1;42;0.00003233
1;1;43;0.00003233
1;1;44;0.00003233
1;1;45;0.00003379
1;1;46;0.00003379
1;1;47;0.00003379
1;1;48;0.00003379
1;1;49;0.00003379
1;1;50;0.00003836
1;1;51;0.00003836
1;1;52;0.00003836
1;1;53;0.00003836
1;1;54;0.00003836
1;1;55;0.00004648
1;1;56;0.00004648
1;1;57;0.00004648
1;1;58;0.00004648
1;1;59;0.00004648
1;1;60;0.00006216
1;1;61;0.00006216
1;1;62;0.00006216
1;1;63;0.00006216
1;1;64;0.00006216
1;1;65;0.00008193
1;1;66;0.00008193
1;1;67;0.00008193
1;1;68;0.00008193
1;1;69;0.00008193
1;1;70;0.00011744
1;1;71;0.00011744
1;1;72;0.00011744
1;1;73;0.00011744
1;1;74;0.00011744
1;1;75;0.00016412
1;1;76;0.00016412
1;1;77;0.00016412
1;1;78;0.00016412
1;1;79;0.00016412
1;1;80;0.00023391
1;1;81;0.00023391
1;1;82;0.00023391
1;1;83;0.00023391
1;1;84;0.00023391
1;1;85;0.00038029
1;1;86;0.00038029
1;1;87;0.00038029
1;1;88;0.00038029
1;1;89;0.00038029
1;1;90;0.00038029
1;1;91;0.00038029
1;1;92;0.00038029
1;1;93;0.00038029
1;1;94;0.00038029
1;1;95;0.00038029
1;1;96;0.00038029
1;1;97;0.00038029
1;1;98;0.00038029
1;1;99;0.00038029
1;1;100;0.00038029
1;1;101;0.00038029
1;1;102;0.00038029
1;1;103;0.00038029
1;1;104;0.00038029
1;1;105;0.00038029
1;1;106;0.00038029
1;1;107;0.00038029
1;1;108;0.00038029
1;1;109;0.00038029
1;1;110;0.00038029
1;1;111;0.00038029
1;1;112;0.00038029
1;1;113;0.00038029
1;1;114;0.00038029
1;1;115;0.00038029
1;1;116;0.00038029
1;1;117;0.00038029
1;1;118;0.00038029
1;1;119;0.00038029
1;1;120;0.00038029
